ID,hc_related,description
110,0,      . ''  !()    .
111,1,Nurse with a Mission
112,1,"Physician at 1000 Beded General Hospital, Nay Pyi Taw, Myanmar"
113,0,Christianity
114,1,"functional nutrition specialist, health coach, educator, author"
115,0,Estoy para darle trabajo a la mente
116,1,"PGY1 pathology resident. Polish girl. Love cats, pilates and fashion. "
117,0,"God fearing, son and husband teacher young star jnr"
118,0,"Yogi, Meditator, Sanguine, adventurer, in love with love "
119,0,"Referral Orders is a free online referral system that allows people to Refer clients to other professionals, Rate their services and Vouch for them."
120,0,", "
121,0,Arizona 
122,1,"Sydney sport & exercise physician, Chief Medical Officer Tennis Australia. Sports lover and amateur cook."
123,1,A doctor giving up years of my life to add years to yours!
124,0,Kennari 
125,0,caring and intelligent..just that!!
126,1,"Recently graduated physician from San Marcos University, Lima, Peru, with a keen interest in cancer"
127,0,Murphy's Law was established in 1997 and has been a staple in the Upper East Side bar scene ever since.
128,1,"Over 25 years experience in all phases of HR, benefits administration, classification, T&D, labor relations, and HRIS."
129,1,25th European Symposium on Urogenital Radiology. Barcelona 13th-16th September 2018
130,1,"Midway Ambulance Care Servicing Wynyard, Wadena, Foam Lake, Rose Valley and areas. In partnership with Saskatoon, Kelsey Trail & Sunrise Health Authorities"
131,1,struggling with medicine 
132,0,Mdico. 350ml de cafena c/12 hrs. Nunca juzg una pelcula sin antes verla. Aficionado de los deportes
133,1,French/USA/UK Registered Dietitian/Culinary Nutritionist. Food/Health Blogger and owner at 
134,0,BECOME A LEADER
135,1,"Food Microbiologist and a proud Nutritionist

Talk to a Nutrition expert today"
136,1,Clarifi is the non-invasive saliva test that aids in the early diagnosis of autism spectrum disorder in children ages 18 months through six years.
137,1,"Medical student at Universit degli Studi della Campania. Aspiring surgeon and film critic. Art, movie and acting lover. "
138,1,"Transforming health and health care in Maine, and New England, by leading, collaborating, and aligning improvement efforts."
139,1,"Pediatric nephrologist, mom of three, trying to be a human"
140,0,wadi AMBAR
141,1,A manufacturer and supplier of high quality laboratory consumables; supplying products for science around the world since 2012.
142,1,The Society of Interventional Oncology serves as the only member-based organization dedicated to the emerging field of IO. (Est 1/17/17)
143,0,"The Arizona Board of Regents governs Arizona's universities, including Arizona State University, Northern Arizona University, and the University of Arizona."
144,1,"IBMer, Healthcare media relations, exhausted mom of 2, yogini, Texan; views are my own!"
145,0,"The Official Twitter account of Dr. Stephen L. Berman's daughter, Horace Mann, author & winner of the Marquis Who's Who Albert Nelson Lifetime Achievement Award"
146,0,come leave a follow and maybe subscribe! did u know if u have amazon prime or twitch prime u get to sub to ur favorite twitch streamer free! YouTube is braap
147,1,It's time for a health plan with a new perspective. Yours. We're AllWays Health Partners.
148,1,M.D. candidate. Views are my own
149,0,Cik Nabila :)Do follow me. Add me on Fb. 
150,0,TocMxico Centro especializado en el tratamiento del TOC (Trastorno Obsesivo Compulsivo) y trastornos relacionados. Citas: (55)15559560
151,0,"Mdico Ortopedista, egresado INR"
152,0,"New fashion brand. Unique creations that want to be a trend for the future. Tee, sweatshirt and fashion accessories.
Follow our creations ..."
153,1,"When you've been told there's no hope, we can help with complex spine treatment. "
154,0,CEO and Co-founder of 
155,1,I am here to tell people best foods and herbs that they can use for life to keep away illness
156,1,Med student 
157,0,"Husband, Dad, Step Dad, Son, Brother, Cousin, Friend, Student, and forever Marine"
158,1,      . Pediatrics and adult Spine & Scoliosis surgeon          
159,0,Co-Founder & CEO 
160,0,Always follow your 
161,0,...takip eden takip edilir...
162,1,Author of The Get Real Diet (
163,1,Resident physician at The Ohio State University. Budding Nephrologist.
164,0,"Internista-Diabetologo, hobby lector y coleccionista de libros. Dueo de Capricream's Barquisimeto(helados de leche de cabra)"
165,1,Heartland Health Centers operates 16 community health centers that provide high-quality care to individuals and families regardless of their ability to pay.
166,0,Lifelong Progressive fighting GOP and Corporatized Democratic hypocrites with truth. Still and always a Sanders supporter.
167,1,Official lab twitter of the Tothova Lab 
168,0,Just a person trying to survive
169,1,"The Athletic Training Department is responsible for the prevention, evaluation, treatment, and rehabilitation of all athletic injuries for UMW student-athletes."
170,0,Jeune tudiant malien 
171,0,limited states
172,1,"Medscape Dermatology provides you with breaking medical news; reference on drugs, diseases, and procedures; and free CME."
173,0,virtual diary; angry bitter melon on internet lyfe; speaks english well with thicc indonesian accent
174,1,"Medscape Emergency Medicine provides you with breaking medical news; reference on drugs, diseases, and procedures; and free CME."
175,1,"Medical student, photographer, traveller & lifelong nerd."
176,0,"
"
177,0,"If I can help and change even one persons life for the better, my time here on earth will not have been wasted."
178,0,Hooomaaaan..
179,1,Cardiac Nurse 
180,0,Human Resources/Recruitment Consultant. Career Coach. Social Media/Networking Guru. Faculty Member and Mentor 
181,1,Medical Interpreter/Translator
182,1,"Computational evo biologist, Assistant Prof at Cal State San Marcos "
183,1,Im a student at Stanford University and I love genetics and human data.
184,0,"Mi hijo busca novia, preferiblemente mayor que el, tiene 10 aos y juega fornite"
185,1,Periodontics lecturer 
186,0,Banker
187,1,Helping Africans find second opinion about their cancer diagnoses and treatments | info@expertreachout.com
188,1,Cardiovascular wellness specialist. Tweets are not medical advice. Aiding in the prevention and reversal of heart disease without drugs Non invasive screening
189,0,"Distributor, Interested to collaborate as trusted channel partner for Pakistan.
Email: info@lifeelements.com.pk"
190,0,Consider the source.
191,1,"Just a guy.  Health care professional, blogger, and frequent sayer of stupid sh!t.  wrote for the old "
192,0,        .
193,1,Oncology Research Nurse
194,1,"A Family Medicine Clinic with your family in mind! We provide services such as Vitamin B12 Energy Shots, Physicals and more to help you be your best!!"
195,1,"Medicine, Psychiatry, Neurosciences, Psychotherapy, Sports Psychology, High Management, Behavior Analysis, Taekwondo & mental health research."
196,1,Pediatric NP Johns Hopkins Childrens Center Dept General Peds Surg
197,1,vegetarian Travel Urgency Medicine recycling
198,1,A biotechnology company with a portfolio of first-in-class nicotine-blocking drugs to treat diseases caused or worsened by nicotine.
199,0,"creative and intuitive, can't do without good friends."
200,0,"Mdico, culiacn Sinaloa, fantico del genero kaiju y la ciencia."
201,1,MedStudent 
202,1,"MD, DNB(Path)
OMC "
203,0,lil dude from across tha street
204,0,All news and announcements of 
205,0,MAST '22 
206,1,Regulatory Affairs Professional with interest in Infectious.  
207,0,"Mdico Internista, graduado ULA, Mrida, Venezuela. Consultas: Av. Lpez Aveledo. Centro Profesional Plaza. 4to piso. Ofic 4- C Lunes, martes y viernes 3:00 pm."
208,1,Healthcare Public Policy Researcher Documentary Filmmaker Public Speaker Writer Blogger Photographer (
209,1,medical student 
210,0,"Ya olduun gibi grn, ya grndn gibi ol Mevlana Celalettin Rumi (A poem by Rumi : Either appear as you are or be as you appear)"
211,1,"Np: I WON'T GIVE UP....  
"
212,1,University of Miami MD/MPH Program: a four-year dual degree program that offers an integrated curriculum to become a public health physician.
213,0,mimiedhyr congkang 16125 :) ({})
214,0,"""Atmano mokshartham jagad hitaya cha""
For one's own salvation, and for the welfare of the world."
215,1,Fueled by coffee. Equal parts yogi and medical nerd. I like stabbing people with needles for money.
216,0,"Ordain minister, deacon, conference evangelist, Christian educator, Missionary superintendent, chaplain, seminary student, entrepreneur, teacher, God's Girl."
217,1,Breast Cancer Survivor-Mom-RN
218,0,Culinary Solutions for the Modern Palate
219,0,10/30/17
220,0,Poetista admirador del cantante urbano mas sincero y humilde de la rep.dom team poeta 
221,0,Last of a dying breed
222,0,Patient persistence and perspiration make an unbeaten combination for success 
223,0,Tcu
224,0,Fighting for the causes you care about and making the MetroWest/495 Corridor a better place. 
225,0,"La Clnica Internacional de Alta Tecnologa CLINALTEC, es una institucin diseada para prestar servicios integrales para el tratamiento integral del cncer."
226,1,Our mission is to save lives by improving lung health and preventing lung disease. Posting Guidelines 
227,1,"Registered Dietitian/Nutritionist, Mom to 2.5 kiddos, lover of all things melted cheese."
228,0,Development Manager 
229,1,"Unique, innovative psychotherapy practice in Northern Virginia offering compassionate care for children, teens, and adults with depression, stress, & anxiety"
230,1,"PhD student nursing scientist studying sedentary behavior and cancer. Clinical Exercise Physiologist, Health Promotion & Disease Prevention."
231,0,I represent the 16th ward of Chicago's worst  
232,0,Founder/CEO 
233,0,Twitter Oficial de SOA (Dra. Catalina Gonzlez Pons y el Dr. Eduardo Segura Gonzlez).Facebook:
234,0,patologa pediatrica/ pediatric pathologist Hospital de Pediatria Garrahan
235,0,i am a simple girl
236,0,We enhance the overall experience of traditional Italian cuisine just adding certain ingredients and complexity without changing the core of the Italian Classic
237,0,O Segredo  ser simples eo essencial  ser voc mesmo!
238,1,"Future Doctor , Currently Premed "
239,1,Current MD MPH student. Raised in San Francisco. Patient Advocate. Social and reproductive justice.
240,1,"The Solution for Managing Practitioners, Tests, Medications, Appointments, Procedures, Finances, and the Emotional Aspects of Your IVF Journey"
241,0,18DanielPadilla's WifeDancerSingerFanof booksKdramaFan
242,1,"Section of General Internal Medicine, Lewis Katz School of Medicine at Temple University "
243,0,Inefable.
244,1,Clinical trauma psychotherapist. Waiting for our  species to wake-up.   Recovering from Western civilization & sugar addiction.  My hero: Thich Nhat Hahn.
245,1,The premier site online for finding the right drug rehab center or alcohol treatment center for you or your loved one. (888) 502-3530
246,0,Nada AKA Learner AKA BMS
247,0,Developed 
248,1,Dr shahidullah dawar
249,1,MPH Candidate 
250,0,MR Physicist 
251,0,"    
     
   
   
    !"
252,1,"University of Miami Grad BSN, RN specializing in Geriatric Acute Care"
253,0,"I'm nothing without God, I'm everything with God. He provides my needs, for my wants are selfish and unnecessary. Praise the Lord, I am a child of God."
254,1,Your Medical Writing Department
255,0,Baby Doctor Mamas is a podcast for new parents made by physician mothers specializing in newborn medicine.
256,0,Happy with life!
257,1," .     .
Dr Najeeb Layyous Center for Infertility-IVF-Gynecology Obstetrics
"
258,0,Entrepreneur | IT Freak | Ex-banker | Poet | Lyricist | Lover of God | Liverpool FC fan |
259,0,oncologa medica
260,0,"There's only us. There's only this. Forget regret, or life is yours to miss."
261,0,"Directioner,Cherlloyd,Me,Myself and i, pls. follow me follow u back promise"
262,0,Personal Account. For business inquiries: salfadil@jhmi.edu
263,1,Academic hospitalist 
264,0,PARAMOUNT MMA ANNOUNCER 
265,0,Quality Control
266,0,Happy person
267,0,"grateful heart
animals are the best
history repeats itself"
268,0,Sub duohka
269,0,"Ordained Minister, Churchanity ain't my thing, BUT, Faith, Hope & Love I have in my heart. Come meet My Jesus, he's more so much more than you even know! "
270,0,Im a day dreamer & a night thinker | Caffeine-fermenter | RMT
271,0,"Turismo comunitario, rural, alternativo o como le quieran llamar pero hganlo. Incursin en los temas del mundo digital e informacin ciudadana"
272,0,"Living the country life , retired with my husband of 53 years. Have 4 children , 9 grandchildren, love all of them .."
273,1,Curing cancer one tweet at a time
274,1,accelerated nursing student trying to survive while drowning! I should be studying 
275,1,Nurse. Blogger. Speaker. Med-Surg | ICU | Trauma | Injury Prevention. Have a great shift!
276,0,Train your mind to see the good in everything....
277,0,BeLiEvEr|TeAcHeR|HuStEr|SiMpLe|RiCH|DaMigod.
278,1,The Youth Rally is a camp for young people ages 11-17 with bowel and bladder diversions.
279,1,"Manufacturer & Supplier Scrub Uniforms & Lab Coats  
We Offer 
your logo 
Your Label and Tags.  
Contact us 
Whats app +92 336 808 2020 info.ringpower@gmail.com"
280,0,. he/him/his. 
281,0,"Animal Rights Advocate, Vegan"
282,1,I am a Certified Associate in Project Management and also a certified personal trainer. Im currently in school at ASU to get my BA in Health Science.
283,1,"Director of Gastroenterology & Endoscopy at John Hunter Hospital from Newcastle, Australia. Current interests include Hepatitis C, HCC and Gut microbiome."
284,1,"Pediatrics and Neonatology International Summit is going to be held in Tokyo, Japan during October 30-31, 2019. "
285,1,"This is a Twitter account for those who are going through cancer, have survived cancer, or those who have lost someone to cancer. "
286,0,Free Bird.....!!!
287,1,Gastroenterology/Hepatology Fellow 
288,1,Welcome to the official Twitter of the Brown University General Psychiatry Residency Training Program. 
289,1,my stethoscope feeds me!  friday nights
290,0,We create digital strategies for business growth. 
291,1,is an integrated diagnostic and clinic centre aimed at serving the community through the provision of 
292,1,Ghanaian with a BSC in Human biology and aspires to be an international public health consultant
293,1,"My name is Jason Barrett and I have Lymphoma. As such, I started "
294,0,"I am a retired bank executive of 47 years. I have a wife of 46 years, 2 grown boys, 2 daughters in law and a 10 yr old Grandson. Life is really good."
295,1,"Dr. Horwitz is a Clinical Psychologist in Durham, NC. He is a member of the American Academy of Psychotherapists, and the American Psychological Association."
296,0,"""ACTIVIST IN THE PUBLIC INTEREST"" Advancing Environmental & Social Justice_Indigenous People_Peace_Free Speech_Human Rights   "
297,0,We are a pick up and delivery service for laundry and dry cleaning.  Proudly serving commercial and residential customers.
298,1,Sharing our journey and teaching others how to Live Healthy Naturally with 100% Pure Natural Therapeutic Grade Essential Oils. Gifts of the Earth. Start TODAY!
299,1,medical student from UM(1)
300,0,Football for life CR7 IS THE BEST VIVA RONALDO HALA MADRID
301,1,US Tele-Medicine is the leading telemedicine care provider for America's largest employers throughout the United States.
302,0,Trying to save the world one good deed at a time.
303,1,I am currently voluntarily admitted to  a psych hospital. 
304,0,Obsessed with the beach & green tea Providing creative & digital talent solutions 
305,0,My daughter is the only thing I have for now 
306,1,Biochemist. Writer. Soccer player. Dog enthusiast. PhD candidate at Johns Hopkins.
307,0,"Married,with 3 children, live, own and work on a 40 acre farm. I am a Plexus Ambassador!I also have chickens, a dog and cats. LOVE the country life!"
308,1,"Committed to high-quality, affordable health care, "
309,0,Reach beyond your limits
310,0,Sergzet-i Tababet /Zilkade/ Koni'
311,0,|
312,1,Pediatric Nurse Practitioner - Primary Care
313,1,A network of multidisciplinary physicians committed to clinical research and the advancement of regenerative medicine using adult stem cells. 
314,1, is an educational resource website designed by Sally an OTR/L for people facing challenges caring for a loved one.
315,0,drama queen
316,1,Developmental and Cellular Neuroscientist.
317,0,"Media 3D, a Scottsdale, Arizona-based multimedia production company, provides 3D animation, motion graphic, video post- production and product design services"
318,0,"Born Again Christian man . My life is all about Jesus Christ and living a Christian life . Studying Gods word .In the Morning when I wake , Give me Jesus "
319,1,"Cardiologist at Piedmont Healthcare in Atlanta, Georgia, USA"
320,1,Iam a clinical psychologist with passion for developing psycho oncology in Kenya and Africa.
321,1,"Dont take life too seriously, After all you won't make it out Alive || Psychologist














Humanitarian













 
















  "
322,0,Grup de Treball de Trastorns de Son de SOCAP; Sleep Medicine Group from Catalan Respiratory Society; Grupo de Trabajo de Trastornos de Sueo de la SOCAP
323,0,Assistant Professor of Computer Engineering at Kuwait University 
324,1,New grad working in a CCU near you 
325,1,"Program Manager at LEXIS Conferences, Explore Knowledge towards Neuropharmacology 2019 Summit PS:neuropharmacologysummit@gmail.com"
326,1,Health System Partnerships at Syapse
327,1,"Son, husband, Dad, Physician, Oncologist.
First do no harm. Conquer Cancer."
328,0,Elevate Performance. Accelerate Recovery.
329,1,Providing superior software and services to the healthcare revenue cycle industry.
330,1,Rehabilitation and public health Student
331,0, (
332,1,"Consultant, recovering CEO, mom, friend to kick-ass women. Holding leaders accountable on board governance, strategic planning, health policy. Fun enthusiast."
333,0,"Viajera cuando puedo, lectora, en un intento de vida saludable."
334,1,University of Iowa 2020 | Human Physiology
335,0,Adventurer | Storyteller | Gourmet Cuisine Explorer | Just keep swimming :)
336,0,"Love God, my daughter & "
337,1,"Compassionate Touch offers food & housing assistance for Houston, Dallas, Central Texas & Tarrant County patients. Sister Organization of "
338,1,Obs.  &Gyn. Doctor
339,1,Bringing the best Western medicine has to offer to developing countries that are in need of resources and training.
340,1,"Medical Director Vituro Health, Director Scionti Prostate and Men's Health Center"
341,0,driven by music
342,0,Building relationships 
343,1,"President of Thomas A. Little Consulting. Specialist in Statistical & Analytical Methods, Lean Six Sigma, Quality by Design and BioAssay Development."
344,0,SoCal
345,0,Medico 
346,1,Dietitian-Nutritionist enjoying life in NYC
347,0,"Lost my MOM, too good"
348,0,Rosette
349,1,"International Wellness Consultant. . Trainer, Speaker, Entrepreneur, Medical Professional. Home based business coach"
350,1,Manager at Blue Cross Blue Shield of Florida for 20 years. Owner of Wright Training and Consulting specializing in Customer Loyalty and Employee Commitment.
351,0,"  -   -  
*   "
352,1,"Clinical Instructor, Nsg/Allied Health/EMS Tutor, YouTuber, 9/11/01 Responder, T1 Diabadass! "
353,0,"Spiritual, Witchy Pagan, Magickal, Reiki Master Teacher, Glitter Goddess & HR  Guru...  It's all about the MOOOON!! LGBTQ Advocate, "
354,1,Current radiology resident 
355,1,"Focused on helping healthcare organizations improve patient care, quality and lower cost by gaining greater insight to their data."
356,0,get life to give it back
357,0,I love to farm and hunting and fishing just about everything And i'm a big fan of the Halloween and Friday the13th films and collect farm toys horror stuff.
358,0,"Busy dancing life's dance... and of course, I am...Simply phenomenal... Let's go home! :)"
359,1,VirtualDerm MD is the secure and encrypted online medical service that allows you to simply email us a photo of your skin and receive an expert MD diagnosis.
360,0,Independent and living life!
361,1,"A resident doctor in China,MD"
362,1,Pharmacist 
363,0,Space traveler
364,0,", "
365,0,Country girl. Magazine nut. Associate editor at 
366,1,Geriatra - Geriatrics resident 
367,0,Grupo de trabajo de la Sociedad Espaola de Nefrologa (SEN). ONCONEFROLOGA
368,0,Constructech magazine influences construction professionals to unleash the business value of technology. Videos at 
369,1,"Author; retired journalist; Recently self-published If I Forget, A Caregiver's Memories, at "
370,1,"Pharmacist, coach, Co-owner "
371,0,Be happy and healthy
372,1,"Psychologist, Institute for Oncology and Radiology of Serbia"
373,1,RN
374,0,Lawyer with an interest in agricultural zoning law in New York
375,0,"LOVE IS:  giddy, hurtful, binding, freeing, and so much more.  Funny how love can span years, dimensions, and distance."
376,1,"Orthopedic Surgeon and Sports Medicine specialist. Husband, father, history buff and Bears enthusiast"
377,1,"Master Student of Bioinformatics and Structural Biology Institute, National Tsing Hua University,Taiwan"
378,0,Smart Manufacturing Service Provider info@apluslabs.us
379,1,"Committed to effective, efficient, innovative community health promotion, research, and policy to improve the health of children and families in Texas."
380,0,primum non nocere
381,0,Estudiante de medicina
382,0,"Writer and upcoming influencer.
Pls Follow Back"
383,1,"We support & provide resources for pregnant & postpartum moms, dads, & families dealing with PMAD. Call the PSI HelpLine any day at 1-800-944-4773"
384,1,Psychotherapy | Nutrition Counseling | Holistic Health & Wellness | Helping 20somethings + 30somethings develop healthy habits + build fulfilling relationships.
385,1,"WorldWide Meds is an ecosystem that empowers people to manage their healthcare wherever they are in the world, 24/7. telegram
"
386,0,"Wife, Mom, Lobbyist, Ex-Senate and House staffer"
387,1,Aging Health
388,0,"Protect our USA The land of the Free! Air Force , Spacial EWF, middleEastanalyst.it's my opinion only"
389,0,Creating big change through strategic partnerships with quantum thinkers
390,1,Medical student and Researcher 
391,1,iPhone app that contains a plethora of information on various infectious diseases on one centralized platform!
392,1,Our mission is to educate medical professionals and the general population on LGBTQI+GNC healthcare. **not medical advice**
393,0,rip tungle dot com
394,1,A platform set up by a group of young medical practitioners who believe in expatiating medical knowledge into a more apprehensible manner.
395,0,"Notes from the underground...
RT# endorsement"
396,1,Chicago MD Candidate 2022....
397,0,"Love Jesus, love my wife, love my children. | Truth. Hope. Love. | Africa is not a county. Power in diversity. Social innovation. Authentic leadership."
398,0,At 
399,1,Director Orthopaedic Sports Medicine Clinic HYGEIA Group of Hospitals Greece
400,1,"A doctor, willing to provide helpful medical information to the ones who need!"
401,0,"Bronx Girl, long time So Cal resident now in semi rural NC"
402,1,MD 
403,1,"A local non-profit 501(c) (3) organization committed to the prevention, control and cure of cancer in children."
404,1,MD Researcher finding cures for TDS.
405,1,Rad Onc Reg 
406,1,Accelerated Nursing BSN program. Looking to share my journey 
407,1,I am a Maitland trained and certified orthopedic manual therapist with a passion for PT and nutrition.
408,1,Okan University Faculty of Medicine
409,1,Retired Internal Medicine Board Certified physician
410,1,JuniperMD is healthcare technology company offering second-opinion consultation and evaluation from worlds-class physicians in the US.
411,0,Tupperware | Craft Lover and Sports | Spread of Dhamma and Vipassana | Vipassana is true nature (S. N. Goenka) 
412,1,Neonatal Emergency Seminar and Workshop 2013. 11-12 Juni 2013. FKUI-RSCM. presented by Panitia Lulusan Dokter 2013 FKUI more info: Ikhsan 081384874838
413,0,Success and happiness is never for sale. It comes by luck and struggle. Don't wait for luck. Find the ways yourself.
414,0,"Keynote Speaker, Author & Leading authority on maximising human potential, personal fulfilment, attaining inner balance & greater levels of success "
415,1,"Medical Physics Resident, Cleveland Clinic"
